['GLR', 'SPQ', 'LKJ']
['LDM', 'LXK', 'RMT']
['NTJ', 'NGP', 'PKQ']
['PXL', 'GQG', 'CCL']
['TMB', 'SSN', 'LVM']
['XNP', 'SXR', 'XJH']
['SSG', 'VJT', 'BPK']
['XVS', 'GHQ', 'LCJ']
['HRM', 'GNJ', 'GNJ']
['NNG', 'GCB', 'FXT']
['VLL', 'NTJ', 'LFV']
['SXX', 'SFQ', 'TQR']
['XNM', 'JCQ', 'MNT']
['XTR', 'JGP', 'GPS']
['LXN', 'DKT', 'GBC']
['HGN', 'GPH', 'GFD']
['JJF', 'DSH', 'DVT']
['BTJ', 'SDH', 'CLJ']
['DPV', 'RSQ', 'XGJ']
['MMK', 'CXD', 'KNV']
['FXT', 'LDV', 'VBP']
['HDL', 'RVD', 'JQG']
['GPX', 'PFH', 'XBR']
['FMJ', 'LJF', 'KPC']
['CRX', 'XXN', 'XNQ']
['TQN', 'JJF', 'SBZ']
['FGB', 'JHR', 'QGC']
['HFQ', 'PJS', 'FPN']
['BKS', 'GCK', 'TRC']
['VPS', 'BRP', 'BSL']
['JMV', 'QQM', 'JVV']
['LMF', 'DQJ', 'RQP']
['TDT', 'KVD', 'KNT']
['PFP', 'SMV', 'NXN']
['DKT', 'NCT', 'MPG']
['NGP', 'LMP', 'LBG']
['BPD', 'HRM', 'HRM']
['CFK', 'HDM', 'JSV']
['CLB', 'PXL', 'CVB']
['GHG', 'XVM', 'BGM']
['GCB', 'LDV', 'VBP']
['NSH', 'SHX', 'JTQ']
['GGR', 'STX', 'HHQ']
['VTX', 'XSM', 'TNV']
['JGB', 'QTG', 'TBL']
['RDJ', 'QQQ', 'NGC']
['KVL', 'MBG', 'CDD']
['LVM', 'KLR', 'KVT']
['FRV', 'XRD', 'CGJ']
['VMJ', 'DDG', 'GQC']
['FDA', 'BKF', 'MQC']
['DSC', 'QRC', 'FMJ']
['CRQ', 'GKT', 'RMR']
['QLC', 'HHT', 'HLQ']
['FSN', 'LHJ', 'XTT']
['RDP', 'CNJ', 'SQD']
['XRJ', 'MCV', 'MVT']
['KJD', 'JRX', 'JCM']
['PXJ', 'JGH', 'CMB']
['FCQ', 'XKQ', 'MFB']
['FXK', 'MSB', 'TVD']
['JNF', 'TQR', 'SFQ']
['CJJ', 'PXJ', 'QQJ']
['KNV', 'FTH', 'RFL']
['HFH', 'CBP', 'DPN']
['LHT', 'PGK', 'DLD']
['GLC', 'DTJ', 'BDD']
['PNH', 'SSG', 'QGT']
['PJS', 'FHQ', 'GBD']
['NQJ', 'XSD', 'KKD']
['XVL', 'PGN', 'KSB']
['FMM', 'CKQ', 'FVF']
['NFL', 'BPV', 'HGF']
['PJR', 'SNT', 'HBM']
['JQG', 'XNM', 'QKN']
['NGQ', 'NMV', 'NBS']
['CQV', 'MXC', 'DQR']
['HQJ', 'GGR', 'VCX']
['TTQ', 'HLJ', 'MVF']
['HNR', 'JGP', 'GPS']
['LRK', 'NFL', 'LGC']
['GML', 'TSF', 'HFT']
['NLV', 'JQS', 'HHF']
['VGR', 'VQT', 'DRX']
['TQR', 'SXH', 'QJP']
['HPC', 'PTF', 'RRH']
['KCN', 'PQP', 'VBQ']
['HTF', 'VGR', 'TTS']
['QKH', 'DCP', 'KNL']
['HHH', 'PJR', 'RSP']
['QMD', 'FNP', 'CCG']
['LGV', 'LTB', 'JST']
['KQX', 'SPF', 'MLD']
['PJX', 'MMP', 'RHG']
['QRD', 'GDL', 'BBQ']
['CCG', 'PVB', 'GBB']
['CPG', 'KSD', 'BXG']
['PFV', 'PMX', 'RHS']
['VCC', 'RPQ', 'RDD']
['CVF', 'XSM', 'TNV']
['QQX', 'HGN', 'GDF']
['QVJ', 'HXJ', 'GTV']
['PSD', 'CQD', 'QFD']
['DLP', 'QQX', 'SQR']
['HBM', 'MCR', 'XVP']
['SFS', 'BTS', 'TSC']
['NKN', 'GBQ', 'RSF']
['VQT', 'BTJ', 'FGM']
['XBH', 'RMT', 'LXK']
['SRM', 'PGK', 'DLD']
['FKQ', 'SRV', 'PCC']
['LSX', 'XVS', 'HMG']
['CLL', 'NXN', 'SMV']
['GDD', 'NLD', 'TGL']
['RVD', 'XNM', 'QKN']
['RHG', 'BJM', 'NBR']
['KFX', 'FMJ', 'QRC']
['FGM', 'CLJ', 'SDH']
['XJJ', 'CVF', 'VTX']
['NHL', 'XBJ', 'HLF']
['VMS', 'VVQ', 'PPC']
['JCQ', 'CFP', 'FGB']
['PSP', 'VTH', 'HDC']
['LRQ', 'GDG', 'VBL']
['PKL', 'SSG', 'QGT']
['LHJ', 'HML', 'JMG']
['BDX', 'FMK', 'XDS']
['DPX', 'BBF', 'SBK']
['GFD', 'XVV', 'CHS']
['PSR', 'FPP', 'DSL']
['HQB', 'MRL', 'DHG']
['GKD', 'SSP', 'JSP']
['TKL', 'KBV', 'GTH']
['HMF', 'HHT', 'HLQ']
['DGS', 'VDJ', 'TJN']
['MRQ', 'QVM', 'KJC']
['XSD', 'TGJ', 'BDS']
['GDG', 'RGS', 'HFH']
['JSV', 'MFD', 'HXP']
['HMG', 'LCJ', 'GHQ']
['BPV', 'MRQ', 'XRL']
['SSP', 'KQM', 'NSX']
['SDH', 'QQR', 'RGR']
